temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration
9.8,14.8,4.8,0.0,36000.0
13.5,18.4,8.5,0.9,36000.0
11.7,18.8,3.8,0.0,36000.0
9.9,14.7,4.7,0.0,36000.0
13.6,20.1,8.1,0.0,36000.0
14.0,21.0,9.1,0.0,36000.0
11.5,16.4,8.1,0.0,32861.66
12.4,15.8,9.9,6.5,16752.85
12.7,16.5,9.1,1.4,2277.75
12.4,20.5,7.6,0.0,33888.28
9.7,15.2,4.8,0.0,28917.84
12.0,18.8,7.6,0.0,36341.2
12.1,20.8,6.5,0.0,36317.91
14.7,22.0,7.8,0.0,36012.69
12.4,17.7,8.8,0.0,32983.81
10.9,16.6,6.1,0.0,33098.47
15.3,21.6,9.6,0.0,36221.23
17.4,24.2,12.6,0.0,36196.27
16.2,20.1,14.8,0.2,19598.2
15.3,20.5,11.8,0.6,19305.71
11.6,13.9,8.9,0.3,0.0
5.8,9.2,2.7,9.7,0.0
4.0,9.9,-1.0,1.0,12254.55
5.9,10.4,2.2,0.0,32400.0
7.3,12.1,2.2,0.0,29924.98
8.7,13.2,5.2,0.0,36821.14
8.8,11.9,6.9,0.0,13092.35
9.2,14.1,4.9,0.0,19318.11
12.3,16.5,7.8,0.4,23950.68
14.1,19.6,10.9,0.0,31967.0
16.8,23.5,12.0,0.0,25853.93
18.5,25.0,12.2,2.3,26115.36
12.2,13.8,11.1,0.1,0.0
14.5,19.9,11.8,0.0,23205.09
12.5,15.6,8.4,4.7,0.0
11.9,16.6,9.0,0.0,27041.19
9.7,12.6,7.8,1.5,2646.64
7.9,9.9,5.9,26.4,0.0
7.6,8.6,6.7,1.3,0.0
8.1,12.6,3.8,0.2,1800.83
9.3,15.6,4.1,0.0,38730.03
11.0,18.5,5.6,0.0,38934.08
11.9,17.9,6.7,0.0,38975.68
14.0,20.7,8.4,0.0,39016.93
17.0,23.9,12.1,0.0,39057.78
16.6,25.1,9.9,3.0,37649.25
9.9,13.9,7.2,0.7,15714.69
13.5,20.6,9.2,0.0,39177.86
18.5,27.0,12.1,0.0,35616.99
20.5,27.8,15.2,0.0,26449.14
20.6,29.0,16.5,0.0,34593.4
21.7,30.6,13.4,1.5,35784.05
11.9,14.4,9.9,1.1,73.73
10.6,12.9,9.3,1.2,0.0
11.4,14.1,9.5,3.2,576.55
9.9,12.2,7.8,3.4,649.89
8.3,9.9,7.5,5.0,0.0
10.0,13.2,8.2,0.4,3567.21
11.9,15.8,9.7,0.3,20847.79
11.8,16.7,8.8,19.9,5834.42
8.6,12.6,4.7,1.1,694.16
8.0,11.9,3.7,0.0,29643.53
10.5,14.4,6.7,0.4,39600.0
16.5,22.6,11.8,0.1,37606.22
21.0,28.4,13.5,6.1,31903.99
13.4,16.4,10.5,5.5,5424.86
11.4,17.0,7.6,0.0,28827.05
11.3,17.0,6.2,0.1,39600.0
9.1,10.9,7.2,2.7,7200.0
12.7,16.4,9.8,2.9,37027.79
11.5,14.9,7.7,13.2,824.67
15.0,21.0,9.7,0.0,39600.0
12.8,16.4,10.4,0.0,13905.7
14.4,17.6,12.1,12.7,3852.28
15.4,18.9,13.6,4.6,2293.17
17.3,20.9,14.6,2.5,16086.03
17.8,25.8,12.6,1.8,32554.49
13.0,16.7,10.6,0.2,27649.08
13.0,19.2,8.5,0.0,30062.32
12.7,17.5,8.6,0.0,42624.9
14.7,18.8,11.0,0.0,31824.35
18.9,25.7,13.9,0.0,25886.85
20.3,27.2,16.1,0.5,21075.32
23.9,31.6,17.5,0.0,42510.46
24.9,33.0,18.2,0.0,42951.17
17.0,23.4,13.5,0.0,38412.13
16.1,19.7,13.1,0.0,39600.0
20.7,28.2,15.5,9.4,37490.99
20.5,27.2,16.9,3.6,38509.86
21.8,26.6,18.3,2.1,28312.29
22.3,26.5,17.8,14.0,17400.73
20.5,24.0,17.8,0.1,30391.85
25.1,31.0,20.5,0.0,40865.26
25.9,34.0,18.6,13.2,33377.84
16.8,19.5,14.7,16.1,0.0
14.9,16.9,13.4,8.8,1717.0
16.9,20.8,15.2,20.6,11733.13
17.2,20.1,15.7,3.2,1902.35
19.1,24.0,15.6,3.5,19906.38
16.5,19.5,12.0,0.2,11485.6
18.6,21.5,16.6,0.0,32294.52
20.4,26.6,16.6,0.0,38287.8
22.6,27.0,19.9,1.3,25200.0
21.0,24.5,18.9,0.1,4882.96
23.9,30.7,19.4,0.1,28121.71
25.5,31.9,21.0,1.8,38969.3
24.5,28.5,22.2,1.2,33161.66
23.4,28.1,19.9,12.5,19435.96
19.4,23.5,15.9,2.0,25118.5
19.9,23.5,17.3,1.5,29923.68
24.3,30.4,21.0,4.5,33093.12
23.6,28.9,19.6,26.0,25970.96
22.6,26.4,20.4,11.2,11798.82
22.3,25.5,20.1,9.2,15469.82
19.7,22.5,17.5,3.7,20747.47
19.4,21.5,18.0,7.9,6858.42
